miejce: Krakow

godz: 12:45:11

czas    natezenie

1	7.32
2	10.46
3	9.8
4	7.11
5	14.83
6	12.24
7	15.29
8	13.29
9	15.59
10	20.92
11	22.99
12	31.1
13	27.75
14	38.29
15	39.26
16	31.92
17	35.63
18	41.69
19	45.4
20	48.3
21	52.84
22	49.94
23	51.44
24	54.21
25	55.68
26	57.22
27	59.94
28	58.75
29	51.52
30	58.53
31	58.33
32	57.08
33	58.22
34	54.24
35	50.09
36	50.41
37	42.18
38	49.54
39	47.01
40	43.4
41	41.69
42	38.88
43	40.45
44	40.22
45	36.59
46	34.6
47	34.55
48	32.73
49	29.02
50	34.45
51	30.63
52	31.93
53	25.43
54	22.45
55	27.17
56	23.86
57	20.52
58	21.61
59	15
60	23.48
61	16.53
62	16.7
63	22.12
64	14.75
65	15.66
66	14.83
67	20.71
68	15.62
69	11.7
70	11.17
71	19.37
72	19.63
73	18.4
74	9.43
75	12.29
76	12.08
77	13.37
78	10.52
79	9.1
80	10.52
81	14.94
82	18.66
83	12.09
84	10.47
85	13.26
86	9.59
87	16.54
88	14.19
89	7.1
90	8.7
91	14.67
92	11.75
93	11.71
94	5.36
95	11.12
96	12.45
97	8.44
98	7.31
99	9.73
100	7.1
